Timestamp,country,age,Did you ever had a dog?,What is your education due to the dog's behavior?,Do you think that is shown in this video?,What makes a dog in this video?,What happens to the dog?,dog beieves its real,"On a scale of 1 to 5 vote, how useful do you think happens to the dog? (1 - bad, 5 - useful)",,,
05.10.2016 21:50:42,Russia,32,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",video dog playing with a tablet,Dog catches beam on the tablet screen,"Dog catches a ray of foot on the screen, it wags its tail, passionate about the game.",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.10.2016 21:52:09,Russia,34,Yes,The expert / professional,The dog was offered to play on the tablet,"Trying to get moving bright spot of the tablet paw and muzzle, and sometimes frightened him.","She looks concerned, he wags his tail, looking back on the host, but perhaps too excited, though, perhaps it is she has such a temper",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.10.2016 21:52:42,Russia,39,Yes,dog Owner,York is interested what is happening on the screen of the tablet,"Playing ""catch"" the ball","She is interested, keen",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.10.2016 21:55:57,Russia,45,Yes,dog Owner,Playing with the dog with the help of a laser pointer,Trying to catch the light spot,She is interested in for it this game and hunting,#VALUE!,#VALUE!,1,1,#VALUE!
05.10.2016 21:59:37,Russia,60 years,Yes,The expert / professional,As a dog running around playing with balls on the plate :),"He is trying to get a paw ball, running around on the screen.",She is keen.,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.10.2016 22:00:05,Russia,24,Yes,"Online Courses, Reading, dog owner",The dog is played with a point that moves across the screen.,"Attempts to ""prishlepnut"" point. (Spark)","The dog is excited, completely swallowed by point.",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.10.2016 22:00:33,Ukraine,42,No,beginner,What a game,played,She is very interested in what is happening on the screen.,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.10.2016 22:00:37,Russia,38,4,The expert / professional,Dogs playing on an electronic tablet.,"Playing with a moving ball. When the ball stops, the dog quietly departs.","Poses game, wagging hvostom.Yavno interested.",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.10.2016 22:03:29,the USSR,67 years,Yes,dog Owner,One of the fun of the dog owner.,"Trying to get a ""sunbeam"".",Slowly disappointed,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1
05.10.2016 22:04:01,Russia,54,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog tries to catch a moving image,cm. above answer,"I would not say that the dog is played, it is trying to catch a moving object, which is not always the game",#VALUE!,1,#VALUE!,#VALUE!,#VALUE!
05.10.2016 22:05:42,Russia,27,"Yes, and now there",dog Owner,Showing the dog is in contact with the tablet,The dog reacts to moving object,"The dog is interested, positively set",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.10.2016 22:09:51,Belarus,37,Yes,dog Owner,"The plate shows the recording laser pointer movement, the dog tries to catch",Catches laser pointer,"She does not understand what is happening and where it is lost, it is trying to catch.",#VALUE!,#VALUE!,#VALUE!,#VALUE!,1
05.10.2016 22:11:03,Russia,44,there are 2 dogs,"Owner + reading your articles and literature in particular,",Dog playing with gadget,plays,merry,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.10.2016 22:13:07,Russia,47,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Getting a dog with computer games.,"He sees a moving object, trying to take it in the fall when he lost out of sight, trying to get his paw.","The dog is interested, not nervous, especially The mining instinct does not work, do not get the desired loses interest.",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.10.2016 22:18:25,Israel,27,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Interaction with the dog plate,Trying to catch a moving object on the screen,"The dog does not receive reinforcements. Neither a caught object, nor any other manner. And after some time it loses interest.",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.10.2016 22:25:03,Russia,38,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog plays the game on the tablet,He tries to throw the ball in a long white tube,"It can drive the ball, trying very hard. But rather than drive, and simply reacts to something moving",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.10.2016 22:26:48,Russia,32,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog Interacting with tablet lying on the floor,Dog tries her methods available to interact with some active image on the tablet screen.,"It seems to me that the dog is keen, it is interesting, what there is on the screen, and why she did not manage to catch it. The dog follows the moving object, trying to touch his muzzle or paw.",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.10.2016 22:29:14,Russia,45,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog interested tablet,catches begayuschut point,plays,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.10.2016 22:30:15,Latvia,34,Yes,dog Owner,as the dog reacts to the included toy on her plate,"dog reacts to the game, I can not determine how this behavior, but this type of toy for some it can take some time. she is trying to get the point and claw and bite (whether as a delicacy reminiscent of whether the dogs react to the insect, it seems to me not the mouse)","She is very interested, excited, but not overexcited. to shoot and people around glancing either failed when eating a point, or simply feeling that the hosts in its activities of special interest",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.10.2016 22:30:31,Ukraine,38,"Yes, now 6","For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog catching point,Dog catching point,wonders,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1
05.10.2016 22:38:35,Russia,31,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",like a dog playing with a tablet,"""Catches"" red dot","she was excited, surprised",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.10.2016 22:41:52,Russia,47,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing with iPads and tries to catch the mouse,dog hunts over,the dog is excited game and / or hunting,#VALUE!,#VALUE!,1,1,#VALUE!
05.10.2016 22:53:45,Russia,33,Yes,dog Owner,Dog plays with the tablet moves around the screen point,Trying to catch the glowing paw point on the screen,she wonders,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.10.2016 22:54:25,Russia,29,Rn,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",A game,It catches something on the tablet screen,She hunts,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!
05.10.2016 22:57:16,Russia,33,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",IPads game designed for cats,"Trying to catch, remove the tablet from escaping bright circle-production","The dog does not realize that the circle is unreal, trying to catch it, like a spot of the laser pointer. The dog keeps interest long enough, however, as a result of several dozen attempts to catch the elusive ball distracted and out of the process. I do not think this is a game for the dog - that is the process that she is aware of how gaming.",#VALUE!,1,#VALUE!,#VALUE!,#VALUE!
05.10.2016 22:58:11,Mexico,28,Yes,dog Owner,playing behavior,"Dog tries to get the ball, to no avail","At the beginning of the video it is interested and enthusiastic, disappointed by the end of",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.10.2016 22:59:45,Russia,42,Yes,dog Owner,On the tablet game,Playing,She catches the white ball,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.10.2016 23:12:17,Russia,46,Yes,dog Owner,dog trying to entertain toy computer,He is trying to hunt the moving point,"overexcited, unable to achieve the desired",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.10.2016 23:16:18,Latvia,36,Yes,dog Owner,Video game for dogs,Trying to catch the image,She is experiencing positive emotions,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.10.2016 23:16:44,Israel,38,Yes,dog Owner,Dog playing with a ball in play on the tablet.,Trying to catch a ball in the online game.,"It is a time of interest, then loses interest.",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.10.2016 23:17:21,"Russia, Tatarstan",43,Yes,dog Owner,ball,He is trying to drive,excited,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.10.2016 23:34:40,Russia,65,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",York catches the bunny on the plate,catches bunny on the plate,"She is excited, gambling",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.10.2016 23:34:47,Israel,38,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing with a laser pointer simulator,"Playing, trying to catch the light spot","She was disappointed, because he can not catch the light and throws the game",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.10.2016 23:35:40,Russia,36,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog playing,Dog catches something on the plate,Dog catches bunny with interest on the screen,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.10.2016 23:36:22,RF,28,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",The dog interacts with the tablet,Hunt on toy,Overexcited.,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!
05.10.2016 23:37:36,Russia,26,Yes,dog Owner,Dog Familiarity with technology. On the tablet installed the game (there are similar for cats),Trying to catch a moving object.,"Curiosity game element is ultimately likely dissatisfaction of the process, as catch and fix saoyu victory will not work.",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.10.2016 23:42:29,Serbia,41,there is now,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog tries to play with the subject in a video game,He is trying to play with an object in a video game,"the dog does not understand what is happening in reality, it is expected that the object exists. a bit like playing with a laser pointer.",1,#VALUE!,#VALUE!,#VALUE!,1
05.10.2016 23:42:32,Belarus,60,With 12 years of constantly beaten dog,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing with a tablet to catch a spot (mouse),Dog tries to catch the ball as it seems,Dog playing in the game,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.10.2016 23:44:23,Russia,51,Yes,dog Owner,the relationship of the animal to the plate,It pushes the object out of the field and then in the opposite direction on the field,"it really takes it, all her attention focused on the subject, we can assume that this is part of its leisure and exercise for paws",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.10.2016 23:49:52,Russia,40,Yes,beginner,playing dog,"""Catches"" the bright spot on the screen",she is interested,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.10.2016 23:57:15,Russia,31,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog and tablet,Trying to catch the ball on a plate,capture,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.10.2016 23:58:27,canada,54,"have it now, first dog","For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog is playing,trying to catch the light spot,the dog is very engaged and interested,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.10.2016 23:59:01,Ukraine,32,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",fun for dogs,He plays with the light spot on the tablet,she was at a loss,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1
5/11/2016 0:01,Russia,32,Yes,dog Owner,"It is shown as a dog jumping on the tablet, grinding on it with his paw.","Dog seeing the reflection of light trying to play, interested.",The dog is gradually becoming more and more interesting gameplay,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/11/2016 0:30,Russia,59,have 2,dog Owner,The owner plays a laser pointer.,Dog tries to catch the laser bunny,"The dog is very keen on this process, and a little nervous",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/11/2016 0:33,Russia,46,Yes,dog Owner,Doggie plays with the point on the tablet,Trying to catch the point / ball (just as the red dot of a laser pointer),Dog puzzled,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1
5/11/2016 0:36,Latvia,63,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Trying to catch a dog paw moving a point on the tablet.,Attempts to catch in order to understand what it is.,I did not understand and has lost interest.,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/11/2016 0:51,Moscow,25,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog Playing in the tablet,Playing,He studies and plays,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
5/11/2016 0:52,Russia,25,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog playing a game on the tablet,He is trying to catch a mouse or whatever runs,"excited, concentrated",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/11/2016 0:55,Russia,29,Yes,"dogs all my life, courses, seminars and reading literature",Dog plays with the tablet on the semblance of a laser pointer,Playing (hunts point),"The dog is excited, trying to catch the goal",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/11/2016 1:31,Russia,26,It was and is,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing the game on the tablet,"It responds to a moving image, trying to catch him","The dog in an excited, interested state, it is curious, she wants to know whether it is possible to catch the object and whether he is alive",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/11/2016 1:50,Russia,36,Yes,dog Owner,Dog Playing the game in tablet.,Squanders his psyche. IMHO,she plays,#VALUE!,#VALUE!,1,#VALUE!,1
5/11/2016 2:53,Russia,53,dog 3,dog Owner,"Dog plays with the light spot on the plate, but at the end of the video it is, in my opinion I lost interest :)","He plays with speck, trying to catch him",first wonder then loses interest,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/11/2016 3:21,Australia,36,Yes,dog Owner,"Dog tries to catch on the tablet screen, moving the white point",trying to catch a moving object,she is interested,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/11/2016 3:55,Cloveniya,thirty,Yes,dog Owner,Dog playing in the app on the tablet for cats. (Judging and title and video),Playing with the tablet,"She is interested and takes an image on the screen of a physical object, but my experience has shown that dogs such behavior is not typical.",1,#VALUE!,1,#VALUE!,#VALUE!
5/11/2016 4:44,Russia,49,Yes,dog Owner,Dog playing with a moving object on the tablet,dog wants to catch (obtain) the subject,"beginning with curiosity, then disappointment, there is no satisfaction in the hunt.",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/11/2016 6:04,Ukraine,61,Yes,dog Owner,The game on the tablet to the dog.,"Dog plays. Catches ""sunbeam"" which arbitrarily ""runs across the field.",It seems to me that she was nervous.,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
5/11/2016 6:39,Russia,29,Yes,dog Owner,"Dog tries to catch the point, ""running"" across the screen aypada",Hunts :),Not understand the question - emotionally? Or how?,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!
5/11/2016 6:45,Russia,40,Yes,The expert / professional,"It is shown as a dog trying to influence the premeschayuschiysya object plate, catches him","Dog playing, looking at opereatora, skreb?t paw on the tablet, poked his nose in the plate, jumps from the plate and run against him","The dog is excited, just looking for support from opreatora",#VALUE!,#VALUE!,#VALUE!,#VALUE!,1
5/11/2016 7:07,Russia,37,Yes,dog Owner,"
Dog playing time with the subject
",He is trying to catch a virtual toy,dog's interest to move objects on your tablet,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
5/11/2016 8:03,Russia,thirty,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog plays the game on the tablet,"Catches point on the screen: trying to bite, dig carefully watching when the point of hiding behind the plate edge and waits, when it is possible to attack again","Doggie keen on extracting the point, at some point she looks at the host (I suspect that it is waiting for help from him, instructions or any other participation in hunting). At the end of the disappointed dog throws a lost cause and leaves",#VALUE!,#VALUE!,#VALUE!,#VALUE!,1
5/11/2016 8:03,Russia,31,no,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog playing in aypad,chasing painted ball,"keen, rejoices",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/11/2016 8:18,Russia,55 years,Yes,Veterinarian,Dog tries to catch the ball,He is trying to catch a ball,Trying to catch the ball,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/11/2016 8:21,Russia,47,Yes,dog Owner,The dog and the plate (?) Or some special toy for dogs,He is trying to catch the ball.,She is trained.,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/11/2016 8:23,Russia,50,No,No, Obachka plays as if it were an insect,catches speck,Playing,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
5/11/2016 8:37,Russia,24,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","Dog playing with an object, like a sunbeam.",Dog plays with the object on the screen.,It's interesting.,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
5/11/2016 8:39,Israel,56 years,Yes,dog Owner,York Show as playing with a tablet.,Dog tries to drive the virtual ball.,Dog plays.,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
5/11/2016 9:31,Russia,47,Yes,The expert / professional,dog interaction with a computer game,Trying to catch the image.,It gets the emotions and the brain strain.,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/11/2016 9:40,RF,36,There are currently,dog Owner,"The hosts have fun, including a virtual dog toy, which she will never be able to catch.",Catches the ball on the tablet screen,"Involved in the game, worried hunts",#VALUE!,#VALUE!,1,1,#VALUE!
5/11/2016 9:45,Russia,28,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog playing in a Human game on the tablet,He is trying to catch a circle,"plays, keen",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
5/11/2016 9:55,Israel,55 years,"Yes, I have long been a dog live","For a basic understanding of the behavior of dogs (online courses, reading of literature)",This video shows the electronic toy on the tablet - a moving luminous spot,Dog plays with the moving object,"The dog does not realize that the toy and electronic (perhaps if I understood correctly), the movement of the spot depends on the movement of the dog's paws. Dog plays just as well as she would play with a ball in the room.",1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/11/2016 9:55,Estonia,60,Yes,dog Owner,"Terrier playing with a tablet, trying to catch the ball.",Tracks and tries to catch the ball,Useful,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 10:00:56,Russia,44,in childhood,I'm going to start,Dog and tablet,"The dog was interested in a certain moving image on the tablet, it is trying to get it to play.",She puzzled.,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 10:01:20,Russia,43,There was and there is now,dog Owner,"The tablet, probably the game for cats, dogs","Playing, he catches a ray.",Dogs like she was interested.,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.11.2016 10:08:53,Russia,41,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog plays with the light spot on the surface,"Dog plays, trying to catch a moving speck","her fun, she plays",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.11.2016 10:15:54,Russia,32,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing with tablet,Dog tries to get a glowing ball that moves on the tablet screen,"The dog is interested in a luminous toy, and believes that it is possible to catch and pull out of the ""box"", when the ball comes off the screen",1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 10:15:55,Russia,48,Yes,dog Owner,Dog playing with tablet,Trying to catch the bright spot on the screen,"Passionate about the process, it does not seem much excited",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 10:26:35,Israel,60,yes,dog Owner,light point moves randomly on the screen of the tablet,"It looks like she is playing with this point. she would catch her, but rather trying to understand - what is it and what to do","she zaiteresovana a little discouraged, perhaps even concerned",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
