country,Your age:,What is your education due to the dog's behavior?,Do you think that is shown in this video?,What makes a dog in this video?,What happens to the dog?,What makes a dog in this video?,What a dog feels on this video?,"Evaluate how its positive emotion on a scale of 1 to 5? (1-negative, 5 - positive)",Why did you put it this rating?,"Is there a difference between these two video and, if so, what is it?",Please write here any comments / opinion on animals interacting with tablet computers and their potential benefits / impact on the behavior of the dog:
Russia,50,dog Owner,Apparently it's an interactive game,Catches the ball / ball,Apparently it is interesting where hiding the ball / ball,,passion,5,She likes. The speed and frequency of stroke increases paw,Other dogs in temperament and different games on appeal,"Playing for the dog is needed, as there is splashed emotion. Positive reinforcement in the second game I found it interesting, that. a. the dog leaves the track and sometimes the sound is heard, and this extends the interest of the game"
Israel,42,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing in the plate ..,Catches insects / balls on the plate,"She plays, busy ..",,passion,5,"The dog is completely passionate about the game, the game gives her pleasure ..","The difference is .. In the first video, keen dog, but it is quiet and fairly relaxed, and in the second video the whole dog, like a spring, the energy from it and beats!","I am a little familiar with these games, but because of my lack of a dog it's difficult to say what impact the behavior they may have .."
Finland,33,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing in the outdoor computer game,Trying to catch the elusive moving object,Dog plays with excitement and enthusiasm,,"the dog does not quite understand what was going on. action (digging) is amplified with time, because It does not lead to a result - hence the animal inflates",1,"I think that a dog is very inflates, after such a ""charge"" will be difficult to calm down","cute dog happily play around a bit and went on - 1 video, almost to the aggressiveness of reaching movements without stopping - 2 video","wondered about the interaction of the plates and claws - scratches should be afraid? dog playing, uses his hunting instincts - quite use under the supervision of an attentive host. is it possible to come up with even some gaming areas - only to catch the prey rather monotonous"
Russia,37,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","The dog sees a moving object on the tablet screen, trying to catch him.","Dog in vain trying to ""catch"" the moving object on the tablet screen.","Excited and animated, as ""Hunts"" to a moving object. I can not understand why you can not catch him. Wave.",,Instituted harsh sounds of the food from the plate,1,"The dog did not calm is not happy - she frantically digs, this neurotic behavior.","In the first video the dog is excited, but not overly so, perhaps because the ""game"" on the tablet is not accompanied by sound. Dog watching the object on the tablet safely and with interest.
 In the second video, the dog does not look at the plate, and it looks like it does not see anything, but simply frantically scratching it, IMHO it stimulates sharp squeaking sounds possible that the owner encourages this behavior. It does not consider the image on the tablet, the feeling that it just learned to scrape on it legs.",I do not see any sense in such an interaction.
Norway,34,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",It is shown as a dog playing,Playing,I think it is interesting,,Vozuzhdenie? I do not know.,2,"I'm not sure that her emotions are positive, but also very negative, they, too, are not.","It seems to me that in the first video the dog really play the game, while in the second the dog rather ""play with the tablet"", trying to dig it, and is not interested in what is happening on the screen.","I think that as a dog toy ball is preferable, and in terms of traffic and in terms of interaction with the host. However, I know that there are dogs that are not interested in the balls and they probably could use such toys. But I'm just a theorist, we have no one in the family with toys on the computer does not play, including the dog."
Russia,53,dog Owner,The dog reacts to the sound and movement of the light signal on the tablet screen,Catches from the screen reflected light signal dapper,The dog is nervous,1,irritation,2,Subjective opinion,The first lesson is still closer to the game,unnecessary wanton virtual interaction
Russia,43,dog Owner,dog sees a bright spot on the tablet screen and trying to play with it as with this toy,"He is trying to catch a moving point, to manage it, which, of course, it can not",I believe that the dog may be frustrated by this game,,"the desire to cause a squeaking sound, stepping paw on the screen",3,"I think this game is more positive, but not sure that electronic games are in principle required to dogs","In my opinion in the first case the dog does not viyaet at a luminous point, and are printed on tap and should beep as if it pressed her paws caused it, and the appearance of the track in the second leg of its","I have no confidence that the tablet computers, in principle, need to dogs"
Estonia,56,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing,Dog tries to catch something moving on the tablet screen,The dog is interested,,Dog excited,3,"Dog panting, apparently this game is its overexcited","In the second video, the dog's behavior reminds ,, sparkle ""human",I find it difficult to judge the benefits and the impact on the dog's behavior tablets. Never with such did not face.
Russia,46,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog explores the moving object,Exhibits natural hunting instinct,She tries to catch and makes attempts,,"Passion, excitement",4,Meeting the needs of the natural digging,Other skills,"I have a cat playing on the tablet in the game, but instantly distracted and switches if conventional control toy fishing rod, or any other. I could compare games such as the running of the laser beam. Once a week, use of dogs for physical activity. But happily switched to the usual toys. Because it can and catch up and grab and bring the hands and apply and get a slice or praise from the owner, and the owner can control the process of excited and braking, as a balanced nervous system is now far few can boast."
Israel,32,veterinarian,"dog ""playing"" with the tablet",Trying to catch a moving object,"she is interested, but then realizes that her futile attempts",,excitation,2,"It beats paws with some furiously, too excited","the second video the dog gets reinforcements in sound mind, and it is to continue to stimulate",in a way I do not see any benefit for the dog. The same is to catch flies or play with any of the moving toy
Israel,54,dog Owner,Dog tries to catch a point that moves on the screen.,She is at a loss and does not know what it is.,"To support and possibly to understand, looking at his master.",,"She has a good mood, she is confident",5,"by reaction, the position of the tail",in the nature of dogs and frequency of use of the game,It can be fun
Russia,28,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",It is shown as a dog playing with a toy on the tablet,"Trying to catch a spot of light that appears on the tablet screen, as if it is on the floor","Dog catches and digs a light spot, it is interested",,she was fun,5,In view of the dog a lot of fun,"In the second video, the dog looks more cheerful and active","Dog toys can be interested on the screens and tablets, but the degree of interest all the same individual and is dependent on the age and temperament of the dog"
Belarus,50,dog Owner,"someone alive, for example, white mouse",He wants to play,she was interested,,excitement and positive,5,pleasing to the eye of the dog,"there, on the second video image is not more than the plate-there are still traces of the dog","helpful, the dog is busy, it is interesting"
Russia,37,The expert / professional,Dog playing,"Dog sees exactly the point / circle which are displayed on the tablet screen, trying to understand what it is. play. she tries to pick up the circle. When the circle disappears from the screen, the dog understands that the circle somewhere in the black frame, but it is within this black border, as it does not try to dig or search for a circle outside of the tablet screen.","the dog is excited, plays",,nervous,1,because the dog is nervous.,"in one case it is a game, an interesting and curious dog, way to diversify her life and take intellectual activity. in the second - most powerful source of stress and overstimulation. in the first case can be given to play in the second - is not necessary.",until such observations do not.
Ukraine,13 years,dog Owner,As the dog plays a computer game),Playing the game on the tablet.,"She is keen. But nervous, did not understand why ""mouse"" is not taken in the teeth. I do not know how useful it is for the eyes and mind.",,The excitement and commitment.,4,It seems that she likes to play.,Yes. The first dog is afraid of the tablet does not understand why the toy plane. The second dog seems to like to beat his paws on the tablet. But what is its purpose?,"I do not really like it when dogs, cats playing with tablets. It is unknown how this affects their psyche."
Ukraine,37,dog Owner,Playing dog,Monitors the little ball on the screen,"She follows the ball, but she does not understand what happens to the ball",,I do not know,2,The dog does not look fun,York calmer,"Do not come across, I have big dogs, the tablet is a pity"
Russia,37,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing the game on the tablet.,Dog tries to catch the elusive white point.,"She is very interested, dog playing, having fun.",,Excitation.,3,"I do not think she quite unpleasant, but I do not see pleasure. Maybe if playing a calm dog, she would have liked more.",There is. In the first video the dog with joy and personal interest plays. The second though executes the command and waits for reinforcements.,"Well, it can be fun, if you pick up these toys that are interested in dogs. But I am more than sure that neither one of my first toy dogs are not interested. The second may be someone would like, if I correctly understood its principle of operation."
Belarus,37,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing in the game in the plate,running around trying to catch the point,Catches paws this point,,Similarly irritation,1,"I'm sorry dog ​​that does not get this game. I asked my children what they see and how to comment on. Children do not know my answers. They also felt sorry for the dog. I asked the dog is happy? They responded in unison, three - no!","Differences do not see. Only in the second video, the dog does it with great enthusiasm.",It is a negative impact. It is better to go out and play with the dog ball. Dog certainly plates are not needed.
Russia,33,I know nothing,A game,Playing with the white dot on the plate,Trying to catch the white ball,,I think it is not in itself,3,"Hard to say. It's kind of like fun, but from the outside it does not look very positive","There is. In the second video, the dog seemed mad. Feeling that her long accustomed to this toy, then it looks-obsessed","I think the issue is not with respect to the animal and the computer, and in relation to the host animal. Not very de dog toys include myself, is the owners do. They probably do not want to run on the lawns, lazily walks, here are a convenient way"
Republic of Belarus,39,dog Owner,"Because I am your long-time subscriber, such a video is seen. Dogs entertain the moving picture.",Dog suggests that playing with real object.,"Dog, of course, actively catching spot. In a short video do not understand the whole picture.",,"Nothing. It is like a squirrel in a cage, can only see where to run, and does not know how to stop.",1,Pity her psyche.,"If the first option is acceptable, but no use, the second - just cruel.",Why children and animals slip gadget instead to communicate with them?
Israel,32,beginner,interaction dogs and aypada,catches a cockroach,she thinks it's all real,,interest,3,"I do not think that the dog is happy and she does not play, and perceives the situation as a real",there is a difference in the emotions that occur in dogs,"I do not think this is useful. Plates longer create a fictional reality, and it is important to present the dog. If she's chasing anything, she should catch. And as a waste of emotion"
RF,46,dog Owner,Dog tries to catch the ball image,Dog tries to fix the ball with his paw on the screen,"Dog for a while trying to get the ball, then finally loses interest and leaves",,emotional excitement,2,"The dog did not howl, do not whine, do not fear, but overexcited","The first - the elements of the game, the second - a reaction to the instability of the monitor beep when scratching","Probably, if in the absence of a bored dog owners the opportunity to listen to the voice of the master in the game and at the same time how long objectified when you click on the ball to open the monitor near a feeding trough with reinforcements, it's okay. Although I am against the use of the tablet for games for children and animals, it nevrotiziruet."
Russia,52,The owner of two dogs,dog shows interest in dvuzhuschemusya ball on a plate,"exploring the ball in the game, trying to touch him",exploring,,game,4,games without intelligence at all in my opinion is not very useful beings,Intelligence is involved in the first and in the second there is no,"yet opinion, perhaps we can somehow use the computer while the owner is not home, temporary replacement of communication with the host"
Russia,50,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",moving object,touch foot,she plays,,passion,3,"emotions are high, but it is difficult to say whether they are positive",In the first video excites the curiosity of the dog in the second - neurosis,meaninglessness. what is this for? what results you are trying this is achieved? I do not understand. Well scraped pawl plate - so what?
Israel,57,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",In this video filmed a dog playing on the tablet,Dog catches the electronic marker (cursor),It sells its instikt.,,"The desire to clean. But cyclical action may lead to cognitive dissonance. The dog may ""surrender"", in contrast to the previous case will be negative and will perpetuate negative skill",2,"It seems that the cyclical action fixes fail, ""did not get clean all""","The dog's motivation. In the first game it is positive, every good act (attack on the cursor) is mikropobedu and stimulates positive emotions. In vtrom case against the background of the endless setbacks (how many do not ""reset"" the cursor, there are new), there is frustration and hopelessness.","We have a cat at home. She is playing with electronic toys, in which there is mechanical motion, not the screen. Involved hearing, vision, grasping claws and teeth. She ocheaidno like to play, but get bored after a few repetitions. Not more than a dozen."
Israel,56,dog Owner,Signature of the video: Dog playing in the cat game,"Trying to catch the light point (mouse), which moves randomly on the screen of the tablet.",Dog paw trying to pin down a moving point of light,,It is under stress,2,"Her emotions clearly negative: the tail is not wagging, panting","In the first case the dog gets pleasure from the game, clearly perceiving what is happening, as a game: it is easily distracted, and then again returns to the catching spot light. In the second: the dog is irritated by the fact that he could not stop the movement of the subject, it intends to do this in that no matter what, she is not distracted, focused only on the subject and only fatigue able to stop this ""race of the hare""","All (as in humans) depends on the dog's psyche: one electronic game is no different from an ordinary game, which you can start, continue and finish as desired. Another dog becomes obsessed with the game, it can not stop, continuing over and over again, that can lead to nervous exhaustion. The helpful owner can determine the degree of mobility of the psyche of your pet, depending on the lability may or may not include electronic games in entertainment arsenal dog."
Russia,39,"Owner, reading books and attending courses","York, playing in the tablet))) and judging by the video title - a game for cats)))",Catches bright spot,"She is interested, keen, but after looking at the host - probably awaiting approval",,I think she is tired and becomes hysterical because of the fact that he can not catch a mouse,2,The dog does not look happy.,"It seems to me that in the first video the dog understands that it is a game. It is to some extent relaxed she was playing, jumping, touches the plate foot, looking at his master, wagging his tail. In the second video, the dog is on the verge of hysteria. I would not want to see your dog in such a state.","Probably there are different instances and sometimes permissible to seek the help of modern technology, to occupy or amuse a dog. But I would not do it regularly. No gadgets are no substitute for full-fledged classes, walks and a host of games."
Russia,32,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",video dog playing with a tablet,Dog catches beam on the tablet screen,"Dog catches a ray of foot on the screen, it wags its tail, passionate about the game.",,stress,1,"negative emotions, because the dog is under stress, overexcited","the difference in the reaction of the dog, first dog seems to calm itself stops the game. The second dog is too keen, which led her to stress.","I admit that some calm dogs can be useful (relatively) games with the tablet, possibly another type of game (if they exist). For your dog, I do not see any use in such games."
Russia,34,The expert / professional,The dog was offered to play on the tablet,"Trying to get moving bright spot of the tablet paw and muzzle, and sometimes frightened him.","She looks concerned, he wags his tail, looking back on the host, but perhaps too excited, though, perhaps it is she has such a temper",,"excitement, irritation, nervousness, discontent",2,"Emotions are rather negative, but chew the tablet or to escape from it is not trying to dog","The first dog is more satisfied and motivated than the latter. For the first tablet rather a toy, but it confuses fear (otprygivaniya, looking back on the host). The second fear is not present, but expressed nervousness (sudden movements, heavy breathing). The second dog is not looking for a host of support look, perhaps it is not the master takes","You may want to hold something with direct promotion of real food and toy dog ​​type selection menu - for example if it pokes the muzzle or paw image of cottage cheese - her lunch give curd, and if the meat - the meat. Or check if a toy is more interested in, then to buy her such. Perhaps there are opportunities for distraction dogs that tend to boredom ""disassemble"" apartment."
Russia,39,dog Owner,York is interested what is happening on the screen of the tablet,"Playing ""catch"" the ball","She is interested, keen",,I think that it is under stress,2,this dog did not look happy and contented,Yes there is. In the state of dogs.,"I admit that there may be a program capable to train dogs to enthrall their game. But in reality, I did not meet with them. I would not want to steel plates ""stick wand"" for owners who simply want to distract the dog something to themselves not to engage in it. As it has already happened with some parents and their children."
Russia,45,dog Owner,Playing with the dog with the help of a laser pointer,Trying to catch the light spot,She is interested in for it this game and hunting,,hardly azart- rather the joy of a job well done,3,Well ... it's good pleasure. Generally...,"Pervoe- more about the ""enjoyment of the game and hunting"", the second is about the joy of communicating with the host.",then I do not know what to say. I never had a tablet. I kazhetsya- a fool's errand.
Russia,60 years,The expert / professional,As a dog running around playing with balls on the plate :),"He is trying to get a paw ball, running around on the screen.",She is keen.,,Stress,1,"To the dog felt positive emotion, she should get something in real time.",There is a difference. The first dog is interested. on the torus this is similar to an obsession,"I use the tablet only to show their videos sometimes Rottweiler. She loves to watch movies about animals. I can also talk to her on Skype. She sees me, hears and responds. I developed a special method of communication :)"
Russia,24,"Online Courses, Reading, dog owner",The dog is played with a point that moves across the screen.,"Attempts to ""prishlepnut"" point. (Spark)","The dog is excited, completely swallowed by point.",,resentment and persistently.,2,Unhappy with the dog,"In the first video the dog is played in a good mood. In the second, she proyavlchet impatience and a kind of ""hysteria""","This can be useful and even necessary, but it is necessary to explain the dog ""game rules""."
Ukraine,42,beginner,What a game,played,She is very interested in what is happening on the screen.,,Azart.Interes.,5,Positive emotions rolls.,"I do not know at the expense of the big differences between these two videos, but positive emotions indisputable dogs.","After watching the video, I think about those animals to attach to the technical innovations."
Russia,38,The expert / professional,Dogs playing on an electronic tablet.,"Playing with a moving ball. When the ball stops, the dog quietly departs.","Poses game, wagging hvostom.Yavno interested.",,Stress.Navyazchivoe desire to destroy the object.,1,"This disorder, bringing the dog only negativ.Sobaka repeatedly disappointed, because the goal is not a game, and destruction.","Est.Raznitsa in relation to the proposed dog deystviyu.V the first case, a demonstration of play behavior, in the second - compulsive disorder. The first dog is possible to easily withdraw and switch to another action. Second, only if it is physically tired.","If the animal perceives the game as entertainment, it is possible to interact. The tablet can be used as a reward after a series komand.No, of course, live with a host game luchshe.Sobake that receives stress, these games are contraindicated. It is impossible to control, and deteriorating health."
the USSR,67 years,dog Owner,One of the fun of the dog owner.,"Trying to get a ""sunbeam"".",Slowly disappointed,,Dissatisfaction.,3,I think so.,"Of course there is. 1 - host played with sunbeams, 2 - with poop.",I use a laptop.
Russia,54,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog tries to catch a moving image,cm. above answer,"I would not say that the dog is played, it is trying to catch a moving object, which is not always the game",,"of course, it is interesting",2,I think it was the dog will have to pull off from the gadget and hard to stop playing,"Of course, the difference is, in the first case, the dog stopped on their own game, ""hung"" in the second dog","it seems to me, only after consultation with animal psychology, or only a very experienced owner can determine nakolko dog will be dependent on such a game, for example, I can say at once that my older dog is not interested, the younger very quickly lose interest"
Russia,27,dog Owner,Showing the dog is in contact with the tablet,The dog reacts to moving object,"The dog is interested, positively set",,"Puzzled, fatigue. Can panic",2,Read above :),"The first video gives dog a treat, an animal is interested in the game. In the second video the animal is tired, he does not understand what is happening, but continued to thrash on the screen","Use in animal interaction with electronics can only be if it, in turn, will benefit a human or animal. For fun and games, it seems to me, the animal does not need electronics :)"
Belarus,37,dog Owner,"The plate shows the recording laser pointer movement, the dog tries to catch",Catches laser pointer,"She does not understand what is happening and where it is lost, it is trying to catch.",,excitement may,2,It seems to me that the dog does not feel comfortable being in such a state,The difference in reaction intensity dogs,"My dogs do not interact with the tablet, so no watching and no comments"
Russia,44,"Owner + reading your articles and literature in particular,",Dog playing with gadget,plays,merry,,I do not know,2,"I do not see much positive, but after all, not biting",at least,I have too little knowledge about this
Russia,47,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Getting a dog with computer games.,"He sees a moving object, trying to take it in the fall when he lost out of sight, trying to get his paw.","The dog is interested, not nervous, especially The mining instinct does not work, do not get the desired loses interest.",,Anxiety.,1,I do not know.,The difference in the behavior of dogs in their states.,"I think that computer technology can and should be used in dog training for the benefit of mankind) You need to acquaint dogs with toys, looking at their reactions, to select the desired behavior and use. Uses of computer games for dogs, I do not see or do not understand."
Israel,27,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Interaction with the dog plate,Trying to catch a moving object on the screen,"The dog does not receive reinforcements. Neither a caught object, nor any other manner. And after some time it loses interest.",,Disappointment,2,This behavior confuses the dog confused and creates a link between unrelated phenomena,"The difference is that the second plate responsive to a video effect dogs. Even if the reaction is not supported by the dog action, it may be, it makes you wonder.","Pl my opinion, the potential in these games there. But we need to think carefully reinforcements. And also think about the role of the master in these games. if he is present in the game, whether it comes from the reinforcement, and how the process of learning the game."
Russia,38,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog plays the game on the tablet,He tries to throw the ball in a long white tube,"It can drive the ball, trying very hard. But rather than drive, and simply reacts to something moving",,"Thrill of the Hunt, excitement",4,Doggie vosprinimet this is a game that draws its very,"In the second game for the dog is clearly more fun, there is clear scope (to catch) in the first - it is not clear that the pawl is motivated to drive the ball, she asked only until it is visible, and when would drive - what will rush back to this game again ?","I am opposed to this, and so we have a catastrophic situation - the children have forgotten how to communicate, only know how to work well with the tablet. It is harmful for the physical development (different neurology, scoliosis, eye damage), as well as for emotional - inability to communicate live. Dogs favorably with the ability to be here today with us. You should not take away from them this magical gift. It's my opinion. And if you need to develop a dog, it is better to distract us from the computer and play with it in real games."
Russia,32,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog Interacting with tablet lying on the floor,Dog tries her methods available to interact with some active image on the tablet screen.,"It seems to me that the dog is keen, it is interesting, what there is on the screen, and why she did not manage to catch it. The dog follows the moving object, trying to touch his muzzle or paw.",,"It seems to me that the dog is irritated and annoyed: how so, dig and dig, and it still does not disappear ...",2,I think the dog too excited and strained,"I think there is - in relation to the dog to an event. In a first embodiment, the dog enjoys, and the second - frantically trying to dig something on the screen ... I understand that the games themselves are different - in the first game after the dog touches nothing appears too bright objects, in the second, every touch is trace on the screen, and very bright.","Difficult question.
 His dog, I would hardly admitted to the plate - too expensive, with its dimensions of the tablet quickly there is nothing left. But for small dogs, often severely limited in movement and new emotions, it probably would be a good entertainment option."
Russia,45,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog interested tablet,catches begayuschut point,plays,,interest,4,rejoices,difference in the state of dogs,Electronics are not useful for dogs
Latvia,34,dog Owner,as the dog reacts to the included toy on her plate,"dog reacts to the game, I can not determine how this behavior, but this type of toy for some it can take some time. she is trying to get the point and claw and bite (whether as a delicacy reminiscent of whether the dogs react to the insect, it seems to me not the mouse)","She is very interested, excited, but not overexcited. to shoot and people around glancing either failed when eating a point, or simply feeling that the hosts in its activities of special interest",,passion,4,"perhaps with time it will become monotonous action-fixated, I'm not sure that it is not ""zalipla""","it seems to me that the first toy does not reward the dog as the second. but also the first dog longer able to come unstuck, if you do not see the effect on the result of their actions. second toy seems to be more digging and emits sounds, dog razkovyryat desire, unearth object. The first displays the dog's attention beyond the plate, and the dog may eventually get used to this strange dostochka just such a strange human crap. the second gives the same feeling, that's it then something inside there, and digging you change something (can tracks like clods perceived).
 but it would be interesting to see the same dog with games opposite.
 and in general I think that everything is completely misinterpreted))","I think it is necessary to try and watch. if it works, and the dog from time to time normally plays - then why not. nodumayu, most dogs tablet polamat - teeth, weight throwing, claws ..."
Ukraine,38,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog catching point,Dog catching point,wonders,,perplexity,3,"tablet is not mine, I would not let my",The difference in the tracks on the display? yes but stupid,"IT is not for dogs, start with monkeys =)"
Russia,31,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",like a dog playing with a tablet,"""Catches"" red dot","she was excited, surprised",,more excitement,3,I do not understand,I think -in the first dog realized watching point and catches - second dog overexcited and acts erratically,"I do not understand, my dog ​​has a puzzle in which it is necessary to ""open"" / move, using the sense of smell to find and exercising a certain activity ... but she did not seem interested in tablets - maybe they do not smell anything ..."
Russia,47,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing with iPads and tries to catch the mouse,dog hunts over,the dog is excited game and / or hunting,,"very excited by what-if game, then, whether the fight",3,I can not identify.,"I think the first video depicts hunting, and the second dog behavior motives are not very clear to me. That there playing, then, whether the war ...","my dogs are not particularly interested in a computer or other moving images on the screen, except when the TV showed other dogs. For example, one of my Newfoundland watched with interest the series ""K-9 police dog."" I think that in the virtual world for dogs of little use, since the result is unattainable (except by accident). In addition, the interaction of the tablet and the dog may sadly end for everyone, including the owners of the tablet and the dogs :)"
Russia,33,dog Owner,Dog plays with the tablet moves around the screen point,Trying to catch the glowing paw point on the screen,she wonders,,The dog was very agitated.,5,"Dog act enthusiastically, straight tired from the excess of emotion",In the second video over excited dog,Perhaps this is a good way to take a hyperactive dog. But traditional games seem to be more useful for the dog psyche.
Russia,29,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",A game,It catches something on the tablet screen,She hunts,,She is excited,4,She just sounds a little as a result,Different dogs temperament,"The dog may begin to perceive for a toy is not only happening on the screen, but also the plate, and it is dangerous for the dog and for the tablet"
Russia,33,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",IPads game designed for cats,"Trying to catch, remove the tablet from escaping bright circle-production","The dog does not realize that the circle is unreal, trying to catch it, like a spot of the laser pointer. The dog keeps interest long enough, however, as a result of several dozen attempts to catch the elusive ball distracted and out of the process. I do not think this is a game for the dog - that is the process that she is aware of how gaming.",,"Zadrudnyayus answer. I do not see anything encouraging, do not see any part of the game.",2,"Actions appear slightly rolls over, uncontrolled,, zamozaryazhayuschimisya. I think it's not very good.","In the first case, a dog deliberately hunting for the ball on the screen. In the second - it thrashes on the screen, it seems to me, without the focus on an object, without the screen interactivity. The first behavior seems natural, the second - unlearned more tricks.",I did not think about it. ) This question could be made optional! )
